;out_id;tx_index;n;type;spent;value;addr
18193;18193;3787939175515785;0;0;False;25358689;bc1qe5a7arzeaqdu6pcwcf208prfl708z8j4ykvl7h6a4mx8hp9wh32scadtfw
18194;18194;3787939175515785;1;0;False;472596;bc1qvvny7w3yck9hhz767zpy9z3lrljem85rtmma54
18195;18195;3787939175515785;2;0;False;158772;bc1qr5fqjd8muesd7nmjjkg49n0alflpncuhk6ysla
18196;18196;3787939175515785;3;0;False;624739;3BBMSXp96KsfZNTaAhAM9FDtb1nRCCngPo
18197;18197;3787939175515785;4;0;False;707872;bc1qx6l987znh8zpsp7chz48j44pa3qukht8q66np2trzpkyarcgnqfqe77jt0
18198;18198;3787939175515785;5;0;False;407667;3NEV1SuMf6zPDML8V4m6DmiHP8txibajFY
18199;18199;3787939175515785;6;0;False;438785;384f7HctD7TURtoh8Si8n8eB3fHMpLTe1U
18200;18200;7489002929084306;0;0;False;39262;bc1p7gzlp2euf82t90mundv9clvlppjfts7nu8mvt9kuvly3zud9jj0s6jzrmp
18201;18201;7489002929084306;1;0;False;937782;bc1pkqpeuan0mcafe5ufaskvuldkee8f2qp7w9svt3wjjgxmz48u6scsfu4hgg
18202;18202;7016089224091144;0;0;False;1155;bc1pj84czvznynv4uyexlfda57mv2r63apmvn5vz94tuqlvgvf6u3chqlvrx2a
18203;18203;7016089224091144;1;0;False;7960555;3MgbLiMjwKKA5nULr15A1mrn7jX7oQfA3V
18204;18204;7016089224091144;2;0;False;600;bc1pj84czvznynv4uyexlfda57mv2r63apmvn5vz94tuqlvgvf6u3chqlvrx2a
18205;18205;7016089224091144;3;0;False;2356754;bc1pj84czvznynv4uyexlfda57mv2r63apmvn5vz94tuqlvgvf6u3chqlvrx2a
18206;18206;2552317398614592;0;0;False;4517626;bc1qhexgyn32lcps2zrjmd6dmnryd8ccgxmjwcldc6
18207;18207;2552317398614592;1;0;False;92744;bc1qhnrgtxpjllqnr506m6rpnpfztlf9xduwe6re6g
18208;18208;6398550985170263;0;0;False;700000;3Aoki5QXBodKU7SNS9kUecbKdfiAcVM6wE
18209;18209;6398550985170263;1;0;False;128540;37wFx7D4QVhv5GjAXcXrobjb9nW7DPZbf7
18210;18210;6398550985170263;2;0;False;1261313;3MjCEUFXcP8DTWE6PpBpAiSqpRicWwZmyg
18211;18211;6398550985170263;3;0;False;70928;1NXNHZr6Pbzi3VStcgaxwEhspTWNXQ3Q4G
18212;18212;6398550985170263;4;0;False;3104022;bc1q6z086mu3eqe8z8ukjxdjcyr8gwgya8jt6w854r
18213;18213;6398550985170263;5;0;False;1848503;bc1q5ufx92ky5rrtt0lxasjzy8gmrcvce942d83uc5
18214;18214;6398550985170263;6;0;False;12499;bc1qeyvf26guehspqt4l4rjj8py53ysrlxzr6yvp5e
18215;18215;6398550985170263;7;0;False;82714663;bc1q0s6rca52mjumq8fjuz4j6ka5h9jhq57esyd40r
18216;18216;4574627582151762;0;0;False;546;bc1pcnv3zq5ykzu9pkmsdn64ky8lvkt39vtcqxz9ajalvgfulgn4ndjsztl7vd
18217;18217;4574627582151762;1;0;False;546;bc1pcnv3zq5ykzu9pkmsdn64ky8lvkt39vtcqxz9ajalvgfulgn4ndjsztl7vd
18218;18218;4574627582151762;2;0;False;0;
18219;18219;5250769652841768;0;0;False;546;bc1p6z9ar2ywmpv57x4vsm6yzjg0tvnavtclrjt79lp0nfhhj2eazzqsjmvz8n
18220;18220;5250769652841768;1;0;False;3864;bc1pl35wn7k578zg55exz799m6v6pnu563wg34t7yg7jsnmxpmvw5fdscdsmvu
18221;18221;5250769652841768;2;0;False;0;
18222;18222;5250769652841768;3;0;False;2219;3PNtEspQ48AEu8mzcP2ud6tR8sUiBdnvmq
18223;18223;6687884352875600;0;0;False;546;bc1phxfz3unsdw2lzps8wrvhrdlpw4txwe7jnt0m6uaxhuqptycl0lfqx6z654
18224;18224;6687884352875600;1;0;False;0;
